"title","task_title","note"
"Restaurants","New York","Eleven Madison Park (NY) = Kristin says it was the best meal of her life!!\n"
"Restaurants","Good Foods Map (KCRW)","http://blogs.kcrw.com/goodfood/restaurant-map/"
"Restaurants","To Try - Los Feliz Restaurants","*Speranza - Italian (Amy Blume's rec; very popular with arty people)\n\n*Cafe Stella - French (outside brunch)\n\nCliffsedge Cafe (William's Favorite)\n\nMohawk Bend - vegan  http://mohawk.la/\n\nBarbrix - small plates and a wine bar  http://www.barbrix.com/Home.html\n\nBlair’s (the one with no sign) http://www.blairsrestaurant.com/\n\nLou’s wine shop (just opened - fun wine tasting) http://www.louwineshop.com/\n\nFalafel Arax - the best falafel in town - seriously!   http://www.yelp.com/biz/falafel-arax-los-angeles \n(tried Feb-2015; good but not blown away)"
"Restaurants","DTLA Recs from Jenn","continental club (next to bar AMA)\napartment A cocktail tutorial\n\nFaith & Flower seems to be the new darling of dtla. It's getting a lot of good press/reviews.\n\nAlso, the Stocking Frame has a nice hip vibe if you're looking for tapas style dining.  Bottega is always a good fallback option and I hear the newish Redbird is quite good.\n\nIt's actually a Facebook group I follow where people post dtla info. The Eater LA blog is quite good for updates too though.  http://la.eater.com/neighborhood/downtown"
"Restaurants","Jonathan Gold - 101 Best Restaurants of 2014","http://ballots.latimes.com/lists/101-best-restaurants-jonathan-gold/"
"Restaurants","To Try - Lisa List","*Plant Food & Wine\n\nMOHAWK BEND\n\n***BREAKFAST/ LUNCH***\n*Squirl Away (Silverlake)\nhttp://www.wsj.com/articles/chef-jessica-koslow-opens-a-new-sqirl-in-los-angeles-1434988131?tesla=y\n*Sqirl \nhttp://features.laweekly.com/99_essential_restaurants_2014/sqirl.html\n*The Pikey\nhttp://thepikeyla.com/dinner/\n*Bread Lounge\n\n******DINNER******\nTHE GARDARENE SWINE (new fancy veg; tasting menu too)\n\nGIRASOL (Studio City)\ngirasolrestaurant.com\n\nTHE PIKEY\nhttp://thepikeyla.com/dinner/\nhttp://thepikeyla.com/chef-ralph-johnson/\n\nALIMENTO (Silver Lake; Italian)\nhttp://www.alimentola.com/\n\nCLIFF'S EDGE\nhttp://www.discoverlosangeles.com/what-to-do/restaurants/cliffs-edge\n*also participating in Dine LA\n\nMOZZA (Nancy Silverton)\nhttp://features.laweekly.com/99_essential_restaurants_2014/mozza.html\n\nCOMMISSARY (DTLA; photos only; Kristin has been)\nhttp://www.eatatpot.com/#home\n*Made LAMag new restaurant power rankings top ten and thought it might be fun\n\nFactory Kitchen (Downtown; Italian)\nRedbird DTLA (cathedral bldg!)\nPatina DTLA\nIt's & Winston DTLA\nDrago Centro DTLA\nBestia DTLA\n\nACE HOTEL (but not sure how the food is)\nhttp://www.acehotel.com/losangeles\n\nSAAM at Bazaar (chef tasting room; $150 pp)\n\nChateau Marmont in Los Angeles.\n\nChurch & State\n\nSpago (Bev Hills; old school but recent revamp)\n\nFaith & Flower (Downtown)"
"Restaurants","pasta e basta werdertorgasse - empfehlung von tibor","pastaebasta.at"
"Restaurants","Noodles & Company-Farmingdale","207 Airport Plaza\nFarmingdale \n631-777-4802"
"Restaurants","Restaurant Joanina-Huntington","35A Gerard St\nHuntington \n631-549-2727\n\nwww.restaurantjoanina.com\n\nLasagna w/homemade noodles; soft shell crab appetizer; chicken scarpiello; grilled lamb chops; striped bass; cheesecake w/caramel; tiramisu \n\nNOT cavatelli bolognese, zucchini blossoms"
"Restaurants","Mio Sushi & Steakhouse-East Northport","1932 Jericho Tpk\nEasy Northport\n631-486-8900\n\nwww.miojapanese.com\n\nNOT blue crab fajitas, king crab and lobster pizza, Japanese sausage and bacon and scallop; skip dessert \n"
